    W        Theta    pi0-p       pip-n
 1330.0000   10.0000  0.2679E+00  0.1496E+01
 1330.0000   20.0000  0.2724E+00  0.1364E+01
 1330.0000   30.0000  0.2786E+00  0.1179E+01
 1330.0000   40.0000  0.2846E+00  0.9766E+00
 1330.0000   50.0000  0.2872E+00  0.7879E+00
 1330.0000   60.0000  0.2826E+00  0.6305E+00
 1330.0000   70.0000  0.2678E+00  0.5097E+00
 1330.0000   80.0000  0.2418E+00  0.4226E+00
 1330.0000   90.0000  0.2074E+00  0.3626E+00
 1330.0000  100.0000  0.1702E+00  0.3228E+00
 1330.0000  110.0000  0.1362E+00  0.2984E+00
 1330.0000  120.0000  0.1093E+00  0.2867E+00
 1330.0000  130.0000  0.8999E-01  0.2864E+00
 1330.0000  140.0000  0.7635E-01  0.2957E+00
 1330.0000  150.0000  0.6590E-01  0.3112E+00
 1330.0000  160.0000  0.5739E-01  0.3276E+00
 1330.0000  170.0000  0.5133E-01  0.3400E+00
 1330.0000  179.9000  0.4907E-01  0.3445E+00
 1340.0000    0.1000  0.2764E+00  0.1687E+01
